ambulances,,,,,,,,,,,Ambulance deployment determined by results from running local search script: JEMSS/example/scripts/deployment_search.jl
index,stationIndex,class,unitName,crossStreetx,crossStreety,tour1Start,tour1End,tour2Start,tour2End,tour3Start,tour3End
85,15,1,M71,-73.87526754777632,40.87713976221014,0.375,0.7083333333333334,0.7083333333333334,0.041666666666666664,,
86,13,1,15V,-73.8301836982963,40.886559652904324,0.3541666666666667,0.8541666666666666,0.8541666666666666,0.3541666666666667,,
87,6,2,26E,-73.89387504771484,40.82097971192314,0.4166666666666667,0.7708333333333334,0.7708333333333334,0.125,,
88,14,2,14I,-73.91322400511253,40.80167313449282,0.4583333333333333,0.8125,0.8125,0.16666666666666666,,
89,10,2,19C,-73.91727633051985,40.851322550910425,0.2916666666666667,0.7916666666666666,0.7916666666666666,0.2916666666666667,,
90,1,2,03G,-73.85919884178372,40.81752000934055,0.4375,0.7916666666666666,0.7916666666666666,0.14583333333333334,,
91,8,2,18G,-73.88166081482052,40.84459433180935,0.4166666666666667,0.7708333333333334,0.7708333333333334,0.125,,
92,5,2,27A,-73.88533106164063,40.8729398349511,0.4166666666666667,0.7708333333333334,0.7708333333333334,0.125,,
93,14,1,03W,-73.89111698956982,40.813813510462715,0.25,0.75,0.75,0.25,,
94,4,2,P19,-73.9006812002633,40.87568513742878,0.375,0.875,0.875,0.375,,
95,7,2,20I,-73.82604088148561,40.88088030539005,0.375,0.7291666666666666,0.7291666666666666,0.08333333333333333,,
96,6,2,26J,-73.8890003043513,40.82878943070134,0.3333333333333333,0.8333333333333334,0.8333333333333334,0.3333333333333333,,
97,5,1,C27,-73.86879409378437,40.89652665678886,0.22916666666666666,0.7291666666666666,0.7291666666666666,0.22916666666666666,,
98,12,2,14F,-73.9182843170348,40.81936657899323,0.3541666666666667,0.8541666666666666,0.8541666666666666,0.3541666666666667,,
99,4,2,19E,-73.90685330870707,40.8707910037519,0.3333333333333333,0.6875,0.6875,0.041666666666666664,,
100,4,2,19B,-73.90948534901646,40.8603138386487,0.2916666666666667,0.6458333333333334,0.6458333333333334,0.0,,
101,2,2,03M,-73.87130576150116,40.8322897691567,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.0,,
102,4,2,19L,-73.88555765623545,40.86815066325357,0.375,0.875,0.875,0.375,,
103,13,2,82I,-73.84863002226341,40.89592285061427,0.5416666666666666,0.041666666666666664,,,,
104,10,1,17W,-73.89659946314511,40.84965081302503,0.375,0.875,0.875,0.375,,
105,7,2,15I,-73.84826122710575,40.860998868874304,0.3125,0.6666666666666666,0.6666666666666666,0.020833333333333332,,
106,10,2,17J,-73.91239807487025,40.83094496542463,0.3333333333333333,0.8333333333333334,0.8333333333333334,0.3333333333333333,,
107,6,1,26Y,-73.89685994698331,40.82385623532708,0.3125,0.8125,0.8125,0.3125,,
108,8,1,18W,-73.8867319285001,40.860123573656196,0.2708333333333333,0.7708333333333334,0.7708333333333334,0.2708333333333333,,
109,9,2,17B,-73.92526523593592,40.834782897770445,0.375,0.7291666666666666,0.7291666666666666,0.08333333333333333,,
110,9,1,C17,-73.9280512481018,40.8349658200767,0.20833333333333334,0.7291666666666666,0.7291666666666666,0.25,,
111,14,2,14D,-73.90753933805529,40.80906849807965,0.375,0.7291666666666666,0.7291666666666666,0.08333333333333333,,
112,10,2,17I,-73.91151435441526,40.84061116949437,0.2916666666666667,0.7916666666666666,0.7916666666666666,0.2916666666666667,,
113,3,2,19D,-73.90282215432791,40.850743126821484,0.3541666666666667,0.8541666666666666,0.8541666666666666,0.3541666666666667,,
