nodes,,,
index,x,y,offRoadAccess,
248.0,-73.9305967,40.8288736,1.0
249.0,-73.8276179,40.8593018,1.0
250.0,-73.8275833,40.8598299,0.0
251.0,-73.82229300000002,40.88512180000001,0.0
252.0,-73.8258946,40.88489909999999,1.0
253.0,-73.8164842,40.8273187,1.0
254.0,-73.8163532,40.82628820000001,1.0
255.0,-73.816106,40.8834193,0.0
256.0,-73.8131462,40.8867103,0.0
257.0,-73.90973800000002,40.88949050000001,1.0
258.0,-73.909773,40.88921479999999,1.0
259.0,-73.8393643,40.8561799,1.0
260.0,-73.8390511,40.856274700000014,1.0
261.0,-73.8331702,40.8697771,0.0
262.0,-73.834679,40.87508040000001,0.0
263.0,-73.87239790000001,40.835878199999996,1.0
264.0,-73.8697187,40.835844699999996,0.0
265.0,-73.8708414,40.8357447,1.0
266.0,-73.87025720000001,40.83586940000001,1.0
267.0,-73.87287910000002,40.8367655,1.0
268.0,-73.8734201,40.836860900000005,1.0
269.0,-73.8712799,40.85426270000001,1.0
270.0,-73.8707742,40.854049499999995,0.0
271.0,-73.87390910000002,40.8340056,0.0
272.0,-73.8730179,40.8359288,1.0
273.0,-73.8723831,40.8367007,1.0
274.0,-73.87168060000002,40.8631172,0.0
275.0,-73.8715298,40.8640764,0.0
276.0,-73.8706453,40.865401600000006,1.0
277.0,-73.8710741,40.86549149999999,1.0
278.0,-73.8969453,40.9007751,1.0
279.0,-73.8968903,40.900282,0.0
280.0,-73.8253991,40.839714699999995,0.0
281.0,-73.8252317,40.84216239999999,1.0
282.0,-73.8366014,40.8443997,1.0
283.0,-73.8364274,40.8468874,0.0
284.0,-73.9055901,40.874040199999996,0.0
285.0,-73.9046221,40.8755538,0.0
286.0,-73.8467774,40.8286115,0.0
287.0,-73.87204510000001,40.824636,1.0
288.0,-73.9172176,40.8559224,1.0
289.0,-73.9173778,40.8561114,0.0
290.0,-73.9172766,40.8571524,0.0
291.0,-73.91887290000001,40.854360199999995,0.0
292.0,-73.88230320000001,40.8663845,1.0
293.0,-73.8830184,40.8665149,1.0
294.0,-73.8758879,40.8683658,1.0
295.0,-73.87593,40.868142000000006,1.0
296.0,-73.93132270000001,40.811889400000005,0.0
297.0,-73.9303486,40.813059,0.0
298.0,-73.8348346,40.8562659,0.0
299.0,-73.83554380000001,40.85316699999999,0.0
300.0,-73.8706069,40.83643099999999,1.0
301.0,-73.8730472,40.83637980000001,0.0
302.0,-73.8738287,40.83183230000001,0.0
303.0,-73.8737721,40.8300217,1.0
304.0,-73.8743313,40.8341911,1.0
305.0,-73.8738969,40.8320959,0.0
306.0,-73.83175640000002,40.86590530000001,1.0
307.0,-73.8306639,40.86452980000001,0.0
308.0,-73.8812819,40.882736900000005,1.0
309.0,-73.880456,40.88221999999999,1.0
310.0,-73.879353,40.881507,1.0
311.0,-73.878487,40.88107600000001,1.0
312.0,-73.8160892,40.82588610000001,1.0
313.0,-73.8162802,40.8263209,1.0
314.0,-73.8161285,40.826902,1.0
315.0,-73.8256218,40.8253422,1.0
316.0,-73.82820430000001,40.82590540000002,0.0
317.0,-73.8901236,40.9000821,0.0
318.0,-73.8866051,40.9002915,0.0
319.0,-73.8880063,40.90321620000001,0.0
320.0,-73.8912826,40.899823399999995,0.0
321.0,-73.8899962,40.88878570000001,0.0
322.0,-73.8879025,40.8890414,0.0
323.0,-73.9169451,40.80163100000001,0.0
324.0,-73.91661520000001,40.80211380000001,0.0
325.0,-73.8380106,40.8394939,1.0
326.0,-73.8372799,40.8400125,1.0
327.0,-73.833196,40.8562864,0.0
328.0,-73.8324517,40.8563846,0.0
329.0,-73.8380971,40.832099500000005,0.0
330.0,-73.8395459,40.82941,1.0
331.0,-73.8325353,40.8558803,0.0
332.0,-73.8323808,40.85581669999999,0.0
333.0,-73.8730985,40.8381972,0.0
334.0,-73.8369862,40.8269867,1.0
335.0,-73.8365606,40.824954,1.0
336.0,-73.8630145,40.89627350000001,1.0
337.0,-73.8628093,40.89619210000001,0.0
338.0,-73.8624008,40.82577609999999,0.0
339.0,-73.8650618,40.82541100000001,0.0
340.0,-73.9115357,40.8046572,0.0
341.0,-73.9107136,40.80502669999999,0.0
342.0,-73.872863,40.8562874,1.0
343.0,-73.8725539,40.85651200000001,0.0
344.0,-73.8332282,40.8556326,0.0
345.0,-73.930867,40.814073699999994,1.0
346.0,-73.93079160000002,40.8154761,0.0
347.0,-73.8724886,40.8239501,0.0
348.0,-73.8726348,40.8242082,1.0
349.0,-73.8961735,40.8858717,1.0
350.0,-73.8717546,40.8538922,0.0
351.0,-73.8717693,40.85431049999999,0.0
352.0,-73.9288621,40.82464120000001,0.0
353.0,-73.9284927,40.82457110000001,1.0
354.0,-73.8104289,40.8696582,1.0
355.0,-73.8108294,40.8703375,1.0
356.0,-73.80829530000001,40.8185436,0.0
357.0,-73.80669460000001,40.81793050000001,0.0
